epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1328.29,1.15866,1.30437,0.87607,0.99377,1,0.995,0.6916,0.91872,1.13956,0.88864,0.0008648,0.0008648,0.0008648
88,1343.21,1.21577,1.46796,0.86423,0.984,1,0.995,0.70656,0.86167,1.07811,0.88516,0.0008516,0.0008516,0.0008516
89,1357.94,1.29786,1.5428,0.88403,0.984,1,0.995,0.70656,0.86167,1.07811,0.88516,0.0008384,0.0008384,0.0008384
90,1372.95,1.27613,1.41583,0.85561,0.99251,1,0.995,0.7026,0.87588,1.06649,0.88658,0.0008252,0.0008252,0.0008252
91,1387.91,1.30981,1.44455,0.86298,0.99438,1,0.995,0.64789,1.08966,1.12739,0.90431,0.000812,0.000812,0.000812
92,1402.98,1.14439,1.27409,0.83673,1,0.99431,0.995,0.60782,1.25202,1.14563,0.91823,0.0007988,0.0007988,0.0007988
93,1417.63,1.31827,1.35936,0.89091,1,0.99431,0.995,0.60782,1.25202,1.14563,0.91823,0.0007856,0.0007856,0.0007856
94,1432.41,1.23598,1.18124,0.87976,0.99715,1,0.995,0.67295,1.14841,1.13513,0.90791,0.0007724,0.0007724,0.0007724
95,1447.22,1.30548,1.38423,0.85427,0.99794,1,0.995,0.75415,0.97605,1.10595,0.89282,0.0007592,0.0007592,0.0007592
96,1461.9,1.16039,1.0874,0.84557,0.99754,1,0.995,0.76797,0.89784,1.06679,0.88946,0.000746,0.000746,0.000746
97,1476.77,1.30695,1.30659,0.84911,0.99754,1,0.995,0.76797,0.89784,1.06679,0.88946,0.0007328,0.0007328,0.0007328
98,1491.33,1.20491,1.30804,0.85895,0.99777,1,0.995,0.72436,0.9191,1.05804,0.88777,0.0007196,0.0007196,0.0007196
